,precision,recall,f1-score,support
facebook,0.0,0.0,0.0,0.0
instagram,0.0,0.0,0.0,0.0
truth social,1.0,1.0,1.0,2.0
twitter,0.8846153846153846,0.968421052631579,0.9246231155778896,95.0
twitter (x),1.0,1.0,1.0,2.0
micro avg,0.8421052631578947,0.9696969696969697,0.9014084507042254,99.0
macro avg,0.5769230769230769,0.5936842105263158,0.5849246231155779,99.0
weighted avg,0.8892773892773892,0.9696969696969697,0.9276686462616113,99.0
samples avg,0.005811489799624675,0.005811489799624675,0.005811489799624675,99.0
