episode,type,start_time,end_time,duration
CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,news,"00:01:06,015","00:17:51,120",1005.105
CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,ad,"00:18:33,862","00:21:55,163",201.301
CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,news,"00:21:55,263","00:27:05,774",310.511
CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,ad,"00:27:12,581","00:29:31,453",138.872
CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,news,"00:31:26,784","00:39:13,951",467.167
CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,ad,"00:39:30,201","00:43:10,421",220.22
CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,news,"00:43:54,064","00:45:51,949",117.885
CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,ad,"00:45:54,419","00:49:47,617",233.198
CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,news,"00:50:40,237","00:55:57,387",317.15
CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,ad,"00:56:09,332","01:00:00,013",230.681
CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,news,"01:00:05,418","01:00:59,588",54.17
CNNW_20200314_040000_Anderson_Cooper_360,news,"00:00:06,489","00:15:26,283",919.794
CNNW_20200314_040000_Anderson_Cooper_360,ad,"00:15:38,929","00:19:37,901",238.972
CNNW_20200314_040000_Anderson_Cooper_360,news,"00:19:43,106","00:30:31,621",648.515
CNNW_20200314_040000_Anderson_Cooper_360,ad,"00:30:32,555","00:34:07,103",214.548
CNNW_20200314_040000_Anderson_Cooper_360,news,"00:34:58,955","00:41:52,601",413.646
CNNW_20200314_040000_Anderson_Cooper_360,ad,"00:42:04,947","00:44:19,515",134.568
CNNW_20200314_040000_Anderson_Cooper_360,news,"00:46:00,883","00:51:45,327",344.444
CNNW_20200314_040000_Anderson_Cooper_360,ad,"00:51:57,874","00:54:11,506",133.632
CNNW_20200314_040000_Anderson_Cooper_360,news,"00:55:53,842","00:56:35,717",41.875
CNNW_20200314_040000_Anderson_Cooper_360,ad,"00:57:37,278","01:00:06,027",148.749
CNNW_20200314_040000_Anderson_Cooper_360,news,"01:00:12,367","01:01:00,564",48.197
CNNW_20200314_050000_Cuomo_Prime_Time,news,"00:00:11,327","00:12:49,894",758.567
CNNW_20200314_050000_Cuomo_Prime_Time,ad,"00:13:00,404","00:15:58,882",178.478
CNNW_20200314_050000_Cuomo_Prime_Time,news,"00:16:36,553","00:24:41,104",484.551
CNNW_20200314_050000_Cuomo_Prime_Time,ad,"00:24:43,039","00:27:55,932",192.893
CNNW_20200314_050000_Cuomo_Prime_Time,news,"00:28:55,108","00:34:58,538",363.43
CNNW_20200314_050000_Cuomo_Prime_Time,ad,"00:35:13,219","00:36:42,808",89.589
CNNW_20200314_050000_Cuomo_Prime_Time,news,"00:39:10,047","00:44:21,959",311.912
CNNW_20200314_050000_Cuomo_Prime_Time,ad,"00:44:51,989","00:48:20,130",208.141
CNNW_20200314_050000_Cuomo_Prime_Time,news,"00:48:27,537","00:55:30,160",422.623
CNNW_20200314_050000_Cuomo_Prime_Time,ad,"00:56:10,233","00:57:24,841",74.608
CNNW_20200314_050000_Cuomo_Prime_Time,news,"00:59:52,038","01:00:59,988",67.95
CNNW_20210110_050000_CNN_Newsroom_Live,news,"00:02:07,026","00:18:35,380",988.354
CNNW_20210110_050000_CNN_Newsroom_Live,ad,"00:19:03,142","00:20:32,798",89.656
CNNW_20210110_050000_CNN_Newsroom_Live,news,"00:22:10,729","00:27:45,163",334.434
CNNW_20210110_050000_CNN_Newsroom_Live,ad,"00:27:56,841","00:29:29,968",93.127
CNNW_20210110_050000_CNN_Newsroom_Live,news,"00:31:25,149","00:43:57,234",752.085
CNNW_20210110_050000_CNN_Newsroom_Live,ad,"00:44:00,538","00:45:24,988",84.45
CNNW_20210110_050000_CNN_Newsroom_Live,news,"00:47:38,789","00:50:59,356",200.567
CNNW_20210110_050000_CNN_Newsroom_Live,ad,"00:51:27,250","00:51:56,213",28.963
CNNW_20210110_050000_CNN_Newsroom_Live,news,"00:54:49,452","00:57:57,440",187.988
CNNW_20210110_060000_CNN_Newsroom_Live,news,"00:01:44,971","00:13:37,917",712.946
CNNW_20210110_060000_CNN_Newsroom_Live,ad,"00:14:03,341","00:17:02,388",179.047
CNNW_20210110_060000_CNN_Newsroom_Live,news,"00:17:11,397","00:28:27,305",675.908
CNNW_20210110_060000_CNN_Newsroom_Live,ad,"00:28:28,941","00:30:24,355",115.414
CNNW_20210110_060000_CNN_Newsroom_Live,news,"00:32:09,060","00:35:20,718",191.658
CNNW_20210110_060000_CNN_Newsroom_Live,ad,"00:35:21,953","00:38:50,111",208.158
CNNW_20210110_060000_CNN_Newsroom_Live,news,"00:39:02,790","00:48:59,919",597.129
CNNW_20210110_060000_CNN_Newsroom_Live,ad,"00:51:12,953","00:52:11,711",58.758
CNNW_20210110_060000_CNN_Newsroom_Live,news,"00:52:35,535","00:56:29,903",234.368
CNNW_20210110_060000_CNN_Newsroom_Live,ad,"00:56:31,705","00:57:28,661",56.956
CNNW_20210110_060000_CNN_Newsroom_Live,news,"01:00:32,812","01:01:00,940",28.128
CNNW_20220425_050000_CNN_Newsroom_Live,news,"00:00:31,347","00:16:28,170",956.823
CNNW_20220425_050000_CNN_Newsroom_Live,ad,"00:19:13,569","00:19:43,031",29.462
CNNW_20220425_050000_CNN_Newsroom_Live,news,"00:20:23,972","00:27:00,568",396.596
CNNW_20220425_050000_CNN_Newsroom_Live,ad,"00:29:09,030","00:30:06,221",57.191
CNNW_20220425_050000_CNN_Newsroom_Live,news,"00:30:32,814","00:41:18,926",646.112
CNNW_20220425_050000_CNN_Newsroom_Live,ad,"00:41:19,627","00:41:33,974",14.347
CNNW_20220425_050000_CNN_Newsroom_Live,news,"00:44:29,116","00:56:33,206",724.09
CNNW_20220425_050000_CNN_Newsroom_Live,ad,"00:56:52,926","01:00:04,350",191.424
CNNW_20220425_050000_CNN_Newsroom_Live,news,"01:00:17,196","01:01:00,923",43.727
CNNW_20240201_040000_Laura_Coates_Live,news,"00:01:04,164","00:29:03,358",1679.194
CNNW_20240201_040000_Laura_Coates_Live,ad,"00:32:15,266","00:33:13,041",57.775
CNNW_20240201_040000_Laura_Coates_Live,news,"00:33:27,438","00:41:10,401",462.963
CNNW_20240201_040000_Laura_Coates_Live,ad,"00:44:24,194","00:44:52,256",28.062
CNNW_20240201_040000_Laura_Coates_Live,news,"00:45:38,485","01:00:39,052",900.567
CNNW_20240201_040000_Laura_Coates_Live,ad,"01:00:41,455","01:01:02,241",20.786
CNNW_20240201_050000_Anderson_Cooper_360,ad,"00:00:38,856","00:01:05,381",26.525
CNNW_20240201_050000_Anderson_Cooper_360,news,"00:01:33,393","00:58:03,346",3389.953
CNNW_20240201_060000_The_Source_With_Kaitlan_Collins,news,"00:01:56,716","00:25:51,967",1435.251
CNNW_20240201_060000_The_Source_With_Kaitlan_Collins,ad,"00:28:04,416","00:29:04,676",60.26
CNNW_20240201_060000_The_Source_With_Kaitlan_Collins,news,"00:29:14,786","00:53:39,766",1464.98
CNNW_20240201_060000_The_Source_With_Kaitlan_Collins,ad,"00:56:05,378","00:57:06,289",60.911
CNNW_20240201_060000_The_Source_With_Kaitlan_Collins,news,"00:57:34,417","01:00:59,188",204.771
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,news,"00:00:02,135","00:14:03,943",841.808
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,ad,"00:14:04,076","00:17:42,111",218.035
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,news,"00:18:23,018","00:26:30,438",487.42
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,ad,"00:27:01,236","00:30:39,654",218.418
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,news,"00:30:39,854","00:35:53,668",313.814
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,ad,"00:35:54,469","00:39:52,973",238.504
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,news,"00:40:02,016","00:47:01,401",419.385
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,ad,"00:47:05,240","00:48:29,389",84.149
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,news,"00:50:50,397","00:56:16,523",326.126
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,ad,"00:59:13,967","01:00:11,991",58.024
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,news,"01:00:12,625","01:00:59,672",47.047
FOXNEWSW_20200314_040000_Tucker_Carlson_Tonight,ad,"00:00:09,143","00:00:13,179",4.036
FOXNEWSW_20200314_040000_Tucker_Carlson_Tonight,news,"00:00:13,813","00:16:17,318",963.505
FOXNEWSW_20200314_040000_Tucker_Carlson_Tonight,ad,"00:18:13,333","00:20:42,482",149.149
FOXNEWSW_20200314_040000_Tucker_Carlson_Tonight,news,"00:20:42,916","00:31:47,113",664.197
FOXNEWSW_20200314_040000_Tucker_Carlson_Tonight,ad,"00:31:47,347","00:36:23,756",276.409
FOXNEWSW_20200314_040000_Tucker_Carlson_Tonight,news,"00:36:24,090","00:53:23,708",1019.618
FOXNEWSW_20200314_040000_Tucker_Carlson_Tonight,ad,"00:54:06,785","00:57:35,193",208.408
FOXNEWSW_20200314_040000_Tucker_Carlson_Tonight,news,"00:57:56,214","01:01:01,031",184.817
FOXNEWSW_20200314_050000_Hannity,news,"00:00:02,369","00:26:27,619",1585.25
FOXNEWSW_20200314_050000_Hannity,ad,"00:26:28,154","00:29:05,727",157.573
FOXNEWSW_20200314_050000_Hannity,news,"00:29:43,581","00:36:16,207",392.626
FOXNEWSW_20200314_050000_Hannity,ad,"00:36:19,978","00:39:14,552",174.574
FOXNEWSW_20200314_050000_Hannity,news,"00:40:30,895","00:55:16,237",885.342
FOXNEWSW_20200314_050000_Hannity,ad,"00:55:59,114","00:58:58,626",179.512
FOXNEWSW_20200314_050000_Hannity,news,"00:59:21,416","01:01:00,014",98.598
FOXNEWSW_20210110_040000_Watters_World,news,"00:00:02,819","00:18:14,009",1091.19
FOXNEWSW_20210110_040000_Watters_World,ad,"00:18:17,246","00:21:53,762",216.516
FOXNEWSW_20210110_040000_Watters_World,news,"00:22:02,938","00:26:22,163",259.225
FOXNEWSW_20210110_040000_Watters_World,ad,"00:26:30,138","00:26:59,601",29.463
FOXNEWSW_20210110_040000_Watters_World,news,"00:30:22,270","00:34:56,944",274.674
FOXNEWSW_20210110_040000_Watters_World,ad,"00:35:23,805","00:36:21,662",57.857
FOXNEWSW_20210110_040000_Watters_World,news,"00:39:31,786","00:45:51,665",379.879
FOXNEWSW_20210110_040000_Watters_World,ad,"00:47:01,468","00:50:12,159",190.691
