Date (Daily +00:00: 01/01/2011 - 12/31/2011),Series,Value
2011-01-01,CNN,0
2011-01-02,CNN,0
2011-01-03,CNN,0
2011-01-04,CNN,0
2011-01-05,CNN,0
2011-01-06,CNN,0
2011-01-07,CNN,0
2011-01-08,CNN,0
2011-01-09,CNN,0
2011-01-10,CNN,0
2011-01-11,CNN,0
2011-01-12,CNN,0
2011-01-13,CNN,0
2011-01-14,CNN,0
2011-01-15,CNN,0
2011-01-16,CNN,0
2011-01-17,CNN,0
2011-01-18,CNN,0
2011-01-19,CNN,0
2011-01-20,CNN,0
2011-01-21,CNN,0
2011-01-22,CNN,0
2011-01-23,CNN,0
2011-01-24,CNN,0
2011-01-25,CNN,0
2011-01-26,CNN,0
2011-01-27,CNN,0
2011-01-28,CNN,0
2011-01-29,CNN,0
2011-01-30,CNN,0
2011-01-31,CNN,0
2011-02-01,CNN,0
2011-02-02,CNN,0
2011-02-03,CNN,0
2011-02-04,CNN,0
2011-02-05,CNN,0
2011-02-06,CNN,0
2011-02-07,CNN,0
2011-02-08,CNN,0
2011-02-09,CNN,0
2011-02-10,CNN,0
2011-02-11,CNN,0
2011-02-12,CNN,0
2011-02-13,CNN,0
2011-02-14,CNN,0
2011-02-15,CNN,0
2011-02-16,CNN,0
2011-02-17,CNN,0
2011-02-18,CNN,0
2011-02-19,CNN,0
2011-02-20,CNN,0
2011-02-21,CNN,0
2011-02-22,CNN,0
2011-02-23,CNN,0
2011-02-24,CNN,0
2011-02-25,CNN,0
2011-02-26,CNN,0
2011-02-27,CNN,0
2011-02-28,CNN,0
2011-03-01,CNN,0
2011-03-02,CNN,0
2011-03-03,CNN,0
2011-03-04,CNN,0
2011-03-05,CNN,0
2011-03-06,CNN,0
2011-03-07,CNN,0
2011-03-08,CNN,0
2011-03-09,CNN,0
2011-03-10,CNN,0
2011-03-11,CNN,0
2011-03-12,CNN,0
2011-03-13,CNN,0
2011-03-14,CNN,0
2011-03-15,CNN,0
2011-03-16,CNN,0
2011-03-17,CNN,0
2011-03-18,CNN,0
2011-03-19,CNN,0
2011-03-20,CNN,0
2011-03-21,CNN,0
2011-03-22,CNN,0
2011-03-23,CNN,0
2011-03-24,CNN,0
2011-03-25,CNN,0
2011-03-26,CNN,0
2011-03-27,CNN,0
2011-03-28,CNN,0
2011-03-29,CNN,0
2011-03-30,CNN,0
2011-03-31,CNN,0
2011-04-01,CNN,0
2011-04-02,CNN,0
2011-04-03,CNN,0
2011-04-04,CNN,0
2011-04-05,CNN,0
2011-04-06,CNN,0
2011-04-07,CNN,0
2011-04-08,CNN,0
2011-04-09,CNN,0
2011-04-10,CNN,0
2011-04-11,CNN,0
2011-04-12,CNN,0
2011-04-13,CNN,0
