Date (Daily +00:00: 01/01/2014 - 12/31/2014),Series,Value
2014-08-12,CNN,0.1334
2014-08-13,CNN,0.1172
2014-08-14,CNN,0.0598
2014-08-15,CNN,0.0536
2014-08-16,CNN,0
2014-08-17,CNN,0.0287
2014-08-18,CNN,0
2014-08-19,CNN,0
2014-08-20,CNN,0.0235
2014-08-21,CNN,0.023
2014-08-22,CNN,0.0469
2014-08-23,CNN,0.0238
2014-08-24,CNN,0.0612
2014-08-25,CNN,0
2014-08-26,CNN,0.0698
2014-08-27,CNN,0
2014-08-28,CNN,0.0488
2014-08-29,CNN,0
2014-08-30,CNN,0.0311
2014-08-31,CNN,0
2014-09-01,CNN,0
2014-09-02,CNN,0.03
2014-09-03,CNN,0
2014-09-04,CNN,0
2014-09-05,CNN,0.0279
2014-09-06,CNN,0.0321
2014-09-07,CNN,0
2014-09-08,CNN,0.0316
2014-09-09,CNN,0.4695
2014-09-10,CNN,0.6252
2014-09-11,CNN,0.0254
2014-09-12,CNN,0
2014-09-13,CNN,0
2014-09-14,CNN,0.0689
2014-09-15,CNN,0
2014-09-16,CNN,0
2014-09-17,CNN,0
2014-09-18,CNN,0
2014-09-19,CNN,0
2014-09-20,CNN,0.0638
2014-09-21,CNN,0
2014-09-22,CNN,0.032
2014-09-23,CNN,0
2014-09-24,CNN,0.0246
2014-09-25,CNN,0
2014-09-26,CNN,0.0457
2014-09-27,CNN,0
2014-09-28,CNN,0
2014-09-29,CNN,0.1955
2014-09-30,CNN,0.3743
2014-10-01,CNN,0.1176
2014-10-02,CNN,0
2014-10-03,CNN,0
2014-10-04,CNN,0.0317
2014-10-05,CNN,0.0651
2014-10-06,CNN,0
2014-10-07,CNN,0
2014-10-08,CNN,0.0229
2014-10-09,CNN,0
2014-10-10,CNN,0
2014-10-11,CNN,0.0642
2014-10-12,CNN,0
2014-10-13,CNN,0
2014-10-14,CNN,0
2014-10-15,CNN,0
2014-10-16,CNN,0
2014-10-17,CNN,0
2014-10-18,CNN,0
2014-10-19,CNN,0
2014-10-20,CNN,0.032
2014-10-21,CNN,0.0233
2014-10-22,CNN,0
2014-10-23,CNN,0.0516
2014-10-24,CNN,0.0223
2014-10-25,CNN,0.1545
2014-10-26,CNN,0.0926
2014-10-27,CNN,0
2014-10-28,CNN,0
2014-10-29,CNN,0
2014-10-30,CNN,0
2014-10-31,CNN,0
2014-11-01,CNN,0.0317
2014-11-02,CNN,0
2014-11-03,CNN,0
2014-11-04,CNN,0.0232
