Date (Daily +00:00: 01/01/2012 - 12/31/2012),Series,Value
2012-06-22,CNN,0.6214
2012-06-23,CNN,0.5331
2012-06-24,CNN,0.2827
2012-06-25,CNN,0.6004
2012-06-26,CNN,1.1826
2012-06-27,CNN,0.3403
2012-06-28,CNN,0.1799
2012-06-29,CNN,0.2299
2012-06-30,CNN,0.1129
2012-07-01,CNN,0.3736
2012-07-02,CNN,0.2293
2012-07-03,CNN,0.2934
2012-07-04,CNN,0.3988
2012-07-05,CNN,0.4573
2012-07-06,CNN,0.2996
2012-07-07,CNN,0.3105
2012-07-08,CNN,0.4326
2012-07-09,CNN,0.4243
2012-07-10,CNN,0.2747
2012-07-11,CNN,0.1656
2012-07-12,CNN,0.6492
2012-07-13,CNN,0.4
2012-07-14,CNN,0.7641
2012-07-15,CNN,0.4119
2012-07-16,CNN,0.5054
2012-07-17,CNN,0.4949
2012-07-18,CNN,0.3237
2012-07-19,CNN,0.7555
2012-07-20,CNN,0.2186
2012-07-21,CNN,0.6224
2012-07-22,CNN,0.259
2012-07-23,CNN,0.1063
2012-07-24,CNN,0.3612
2012-07-25,CNN,0.7604
2012-07-26,CNN,1.5043
2012-07-27,CNN,1.6682
2012-07-28,CNN,0.6878
2012-07-29,CNN,0.6541
2012-07-30,CNN,0.1049
2012-07-31,CNN,0.541
2012-08-01,CNN,0.473
2012-08-02,CNN,0.5226
2012-08-03,CNN,0.6775
2012-08-04,CNN,0.2051
2012-08-05,CNN,0.1391
2012-08-06,CNN,0.417
2012-08-07,CNN,0.8322
2012-08-08,CNN,0.4327
2012-08-09,CNN,0.5733
2012-08-10,CNN,0.2548
2012-08-11,CNN,0.4019
2012-08-12,CNN,0.1171
2012-08-13,CNN,0.2976
2012-08-14,CNN,1.3318
2012-08-15,CNN,0.5034
2012-08-16,CNN,1.5546
2012-08-17,CNN,1.386
2012-08-18,CNN,0.9475
2012-08-19,CNN,0.9459
2012-08-20,CNN,0.5756
2012-08-21,CNN,0.5212
2012-08-22,CNN,0.1125
2012-08-23,CNN,0.4352
2012-08-24,CNN,0.3195
2012-08-25,CNN,0.5661
2012-08-26,CNN,0.4733
2012-08-27,CNN,0.2232
2012-08-28,CNN,0.0227
2012-08-29,CNN,0.0455
2012-08-30,CNN,0.2495
2012-08-31,CNN,0.1136
2012-09-01,CNN,0.3181
2012-09-02,CNN,0.473
2012-09-03,CNN,0.0611
2012-09-04,CNN,0.1135
2012-09-05,CNN,0.2268
2012-09-06,CNN,0.2288
2012-09-07,CNN,0.0906
2012-09-08,CNN,0.3179
2012-09-09,CNN,0.1353
2012-09-10,CNN,0.2214
2012-09-11,CNN,0.7619
2012-09-12,CNN,0.5979
2012-09-13,CNN,0.3652
2012-09-14,CNN,0.117
2012-09-15,CNN,0.1444
2012-09-16,CNN,0.1952
2012-09-17,CNN,0.4514
2012-09-18,CNN,0.2742
2012-09-19,CNN,0.2958
2012-09-20,CNN,0.4348
2012-09-21,CNN,0.5006
2012-09-22,CNN,0.8299
2012-09-23,CNN,0.2891
2012-09-24,CNN,1.0431
2012-09-25,CNN,0.3118
2012-09-26,CNN,0.0227
2012-09-27,CNN,0.4328
2012-09-28,CNN,0.3396
2012-09-29,CNN,0.6995
2012-09-30,CNN,0.3252
2012-10-01,CNN,0.3262
2012-10-02,CNN,0.3238
2012-10-03,CNN,0.2064
2012-10-04,CNN,0.7499
2012-10-05,CNN,0.4616
2012-10-06,CNN,0.3728
2012-10-07,CNN,0.1921
2012-10-08,CNN,0.0802
2012-10-09,CNN,0.2498
2012-10-10,CNN,0.1138
2012-10-11,CNN,0.2326
2012-10-12,CNN,0.1107
2012-10-13,CNN,0.1389
2012-10-14,CNN,0.4128
2012-10-15,CNN,0.1351
2012-10-16,CNN,0.3013
2012-10-17,CNN,0.2222
2012-10-18,CNN,0.8726
2012-10-19,CNN,0.2316
2012-10-20,CNN,0.4946
2012-10-21,CNN,0.2203
2012-10-22,CNN,0.4853
2012-10-23,CNN,0.3533
2012-10-24,CNN,0.7768
2012-10-25,CNN,0.9804
2012-10-26,CNN,0.7122
2012-10-27,CNN,0.6777
2012-10-28,CNN,0.3721
2012-10-29,CNN,0.0354
2012-10-30,CNN,0
2012-10-31,CNN,0.1589
2012-11-01,CNN,0.1135
2012-11-02,CNN,0.3463
2012-11-03,CNN,0.3194
2012-11-04,CNN,0.2658
2012-11-05,CNN,0.2308
2012-11-06,CNN,0
2012-11-07,CNN,0.1357
2012-11-08,CNN,0.208
2012-11-09,CNN,0.4595
2012-11-10,CNN,0.1863
2012-11-11,CNN,0.1681
2012-11-12,CNN,0.1348
2012-11-13,CNN,0.2321
2012-11-14,CNN,0.3601
2012-11-15,CNN,0.234
2012-11-16,CNN,0.1153
2012-11-17,CNN,0.1158
2012-11-18,CNN,0.2357
2012-11-19,CNN,0.1382
2012-11-20,CNN,0.1599
2012-11-21,CNN,0.2488
2012-11-22,CNN,0.132
2012-11-23,CNN,0.6394
2012-11-24,CNN,0.5541
2012-11-25,CNN,0.268
2012-11-26,CNN,0.2118
2012-11-27,CNN,0.25
2012-11-28,CNN,0.3844
2012-11-29,CNN,0.3441
2012-11-30,CNN,0.7023
2012-12-01,CNN,0.3189
2012-12-02,CNN,0.4609
2012-12-03,CNN,0.1076
2012-12-04,CNN,0.1836
2012-12-05,CNN,0.1783
2012-12-06,CNN,0.4771
2012-12-07,CNN,0.272
2012-12-08,CNN,0.7983
2012-12-09,CNN,0.3055
2012-12-10,CNN,0.3686
2012-12-11,CNN,0.4105
2012-12-12,CNN,0.7942
2012-12-13,CNN,1.082
2012-12-14,CNN,0.1756
2012-12-15,CNN,0.2083
2012-12-16,CNN,0.7206
2012-12-17,CNN,0.2061
2012-12-18,CNN,0.412
2012-12-19,CNN,0.4791
2012-12-20,CNN,0.5968
2012-12-21,CNN,0.4703
2012-12-22,CNN,0.3749
2012-12-23,CNN,0.2417
2012-12-24,CNN,0.2685
2012-12-25,CNN,0.5102
2012-12-26,CNN,0.4081
2012-12-27,CNN,0.8894
2012-12-28,CNN,1.0822
2012-12-29,CNN,0.6832
2012-12-30,CNN,0.5113
2012-12-31,CNN,0.341
2012-01-01,FOXNEWS,0.1611
2012-01-02,FOXNEWS,0.0229
2012-01-03,FOXNEWS,0.0932
2012-01-04,FOXNEWS,0.0226
2012-01-05,FOXNEWS,0.1183
2012-01-06,FOXNEWS,0.1677
