SocialMedia,Date,Channel,%AirTime,Threshold,
Facebook,2009-07-18,CNN,1.2962,1.1,
Facebook,2009-11-26,CNN,1.2507,1.1,
Facebook,2009-08-22,CNN,1.1848,1.1,
Twitter,2009-11-20,CNN,1.5873,1,
Twitter,2009-08-09,MSNBC,1.3112,1,
Twitter,2009-07-11,FOXNEWS,1.0355,1,
Twitter,2010-10-25,CNN,1.3853,1.2,
Twitter,2010-12-24,MSNBC,1.2877,1.2,
Twitter,2010-04-09,MSNBC,1.2342,1.2,
Facebook,2010-10-18,CNN,2.3419,2,
Facebook,2010-12-06,CNN,2.3288,2,
Facebook,2010-10-03,MSNBC,2.2484,2,
Instagram,2010 - N/A,N/A,N/A,N/A,No mention
Facebook,2011-02-13,CNN,2.614,1.85,
Facebook,2011-01-29,CNN,2.2268,1.85,
Facebook,2011-02-09,CNN,1.8598,1.85,
Instagram,2011-12-10,MSNBC,0.0536,0.05,Only one mention
Twitter,2011-03-30,CNN,4.7407,3,
Twitter,2011-06-02,MSNBC,3.264,3,
Twitter,2011-06-02,CNN,3.2131,3,
Twitter,2011-06-01,CNN,3.0945,3,
Facebook,2012-05-18,CNN,7.0244,4,
Facebook,2012-05-17,CNN,5.4305,4,
Facebook,2012-05-18,MSNBC,4.8998,4,
Facebook,2012-05-19,CNN,4.8406,4,
Instagram,2012-04-10,CNN,0.8524,0.35,
Instagram,2012-12-19,CNN,0.4335,0.35,
Instagram,2012-12-19,MSNBC,0.3837,0.35,
Instagram,2012-12-25,CNN,0.3571,0.35,
Twitter,2012-07-31,CNN,1.6456,1.43,
Twitter,2012-08-09,CNN,1.4905,1.43,
Twitter,2012-12-03,CNN,1.4342,1.43,
Facebook,2013-06-15,CNN,2.2917,1.7,
Facebook,2013-08-10,CNN,1.7885,1.7,
Facebook,2013-08-21,CNN,1.7823,1.7,
Instagram,2013-09-29,MSNBC,0.5615,0.42,
Instagram,2013-08-20,CNN,0.5397,0.42,
Instagram,2013-06-16,MSNBC,0.4223,0.42,
Twitter,2013-11-07,CNN,3.3216,1.525,
Twitter,2013-11-07,MSNBC,2.8834,1.525,
Twitter,2013-11-07,FOXNEWS,2.0114,1.525,
Twitter,2013-11-10,FOXNEWS,1.7857,1.525,
Twitter,2013-12-23,CNN,1.5257,1.525,
Twitter,2014-04-06,MSNBC,2.0011,1.3,
Twitter,2014-08-17,FOXNEWS,1.4669,1.3,
Twitter,2014-05-18,FOXNEWS,1.3842,1.3,
Facebook,2014-02-20,CNN,2.6616,2,
Facebook,2014-06-30,CNN,2.6031,2,
Facebook,2014-09-27,FOXNEWS,2.1306,2,
Instagram,2014-12-22,CNN,1.4831,0.8,
Instagram,2014-12-21,FOXNEWS,0.9154,0.8,
Instagram,2014-04-28,MSNBC,0.8571,0.8,
Twitter,2015-01-13,FOXNEWS,3.2242,1.75,
Twitter,2015-01-13,MSNBC,2.1179,1.75,
Twitter,2015-01-12,FOXNEWS,2.0414,1.75,
Twitter,2015-01-12,CNN,1.9476,1.75,
Twitter,2015-05-19,FOXNEWS,1.776,1.75,
Facebook,2015-12-05,FOXNEWS,4.6392,1.7,
Facebook,2015-05-21,FOXNEWS,2.2173,1.7,
Facebook,2015-12-05,CNN,1.8974,1.7,
Facebook,2015-07-29,FOXNEWS,1.7352,1.7,
Instagram,2015-03-18,MSNBC,0.6942,0.45,
Instagram,2015-10-06,CNN,0.6174,0.45,
Instagram,2015-05-28,MSNBC,0.464,0.45,
